;;;;;
Nr.;Intensit„t;?Intensit„t;Position;?Position;Lage
1;195;2;1035;2;-1 Min
2;1345;5;998;2;-1 Max
3;148;2;953;2;-2 Min
4;568;10;913;2;-2 Max
5;125;2;863;4;-3 Min
6;338;3;830;2;-3 Max
7;140;3;785;2;-4 Min
8;223;3;743;2;-4 Max
9;127;3;702;2;-5 Min
10;180;4;658;4;-5 Max
11;-;-;-;-;+1 Min
12;1370;20;1233;6;+1 Max
13;153;4;1283;2;+2 Min
14;524;2;1318;2;+2 Max
15;130;1;1368;4;+3 Min
16;281;10;1405;4;+3 Max
17;113;2;1450;6;+4 Min
18;180;2;1484;4;+4 Max
19;103;1;1530;8;+5 Min
20;135;10;1573;6;+5 Max
21;102;3;300;0;- Hintergrund
22;95;5;1900;0;+ Hintergrund
