;;;;;;;;
Nr.;Spaltbreite [mm];Intensit„t;?Intensit„t;Position;?Position;Lage;Untergrund Intensit„t;?Untergrund Intensit„t
1;0,18;3374;2;882;6;-1 Max;123;4
2;;3359;5;1208;2;-1 Min;;
3;0,42;2420;6;889;2;-1Min;124;3
4;;2600;6;1212;2;+1 Min;;
5;;3090;10;850;2;-1 Max;;
6;;3109;20;920;2;-2 Max;;
7;;3201;20;1181;2;+1 Max;;
8;;3093;10;1248;6;+2 Max;;
9;0,62;2909;11;825;4;-1 Max;120;6
10;;2502;10;861;4;-1 Min;;
11;;2876;25;886;3;-2 Max;;
12;;2413;30;910;4;-2 Min;;
13;;3002;20;933;2;-3 Max;;
14;;3085;5;1167;2;+1 Max;;
15;;2561;20;1189;2;+1 Min;;
16;;2922;8;1215;2;+2 Max;;
17;;2501;6;1243;4;+2 Min;;
18;;2967;15;1264;4;+3 Max;;
;;;;;;;;
