Frequenz(Hz)	Uein (mV)	dUein(mV)	Uaus		dUaus	

10		14,7		1,17		140 mV		13,9 mV
20		15,0		1.07		136 mV		14,4 mV
30		14,6		1,12		134 mV		12,0 mV				
40		112		1,39		1,59 V		13,8 mV
50		112		1,49		1,70		13,9 mV
60		112		1,23		1,80		7,36 mV
70		112		1,36		1,84		10,4 mV
80		112		1,50		1,87		8,76 mV
90		112		1,43		1,90		12,2 mV
100		112		1,40		1,95		44,0 mV
110		112		1,34		1,96		10,7 mV
120		112		1,28		1,96		8,15 mV
200		112		1,51		2,01		9,45 mV
300		112 		1,41		2,01		10,2 mV
400		112		1,15		2,02		7,63 mV
500		112		1,56		2.02		11,4 mV
1000		112		1,20		2,02		9,77 mV
2000		112		1,36		2,02		10,6 mV
3000		112 		1,57		2,01		9,80 mV	
4000		112		1,24		2,02		10,9 mV
5000		112		1,28		2,01		10,4 mV
10000		112		1,65		2,02		9,20
20000		112		1,35		2,01		10,6
30000		112		1,58		2,04		19,5
40000		112		1,21		2,03		16,9
50000		112		1,71		2,02		11,1
100.000		112		1,17		1,93		10,9
200.000		112		1,36		1,63		15,4
300.000		112		1,20		1,34		11,5
400.000		112		1,22		1,12		10,3
500.000		112		1,41		0,961		10,7
600.000		112		1,41		0,779		4,77
700.000		112		1,66		0,688		4,76
800.000		112		1,73		0,615		4,95
900.000		112		1,28		0,558		5,70
1.000.000	112		1,20		0,508		4,79			
