Frequenz	Uein		dUein		Uaus		dUaus

10 Hz		97,3mV		2,01mV		28,5mV		1,34mV
20		84,4		1,47		46,7		0,603
30		15		1,5		7,91		0,612
40		112		1,56		76,4		0,638
50		112		1,41		83,2		0,965
60		112		1,03		94,1		1,58
70		112		1,35		97,9		1,38
80		112		1,28		101		1,55
90		112		1,67		102		0,898
100		112 		1,37		104		1,30
200		112		1,41		111		1,03
300		112		1,48		111		1,19
400		112		1,41		111		1,28
500		112		1,33		111		1,39
1000		112		1,26		112		1,43
2000		112		1,38		111		1,29
3000		112		1,54		111		1,31
4000		112		1,45		111		1,05
5000		112		1,29		111		1,48
10.000		112		1,46		111		1,65
100.000		112		1,63		111		1,53
1.000.000	112		1,12		111		1,27
2.000.000	109		1,36		110		1,4
3.000.000	110		1,54		110		1,43
4.000.000	110		1,57		112		1,22
5.000.000	110		1,60		112		1,54
10.000.000	108		1,61		121		1,50
